JobType;FreqJobPlace;FreqJobPlace.Dummy;TimesWeekJob;TransportModes1;TransportModes2;TransportModes3;TransportModes4;TransportModes5;SustUser;VRU;BVTECH;Foot.PerformanceRisk;Bike.PerformanceRisk;eScooter.PerformanceRisk;Car.PerformanceRisk;Foot.SocialRisk;Bike.SocialRisk;eScooter.SocialRisk;Car.SocialRisk;Foot.PhysicalRisk;Bike.PhysicalRisk;eScooter.PhysicalRisk;Car.PhysicalRisk;Foot.FinancialRisk;Bike.FinancialRisk;eScooter.FinancialRisk;Car.FinancialRisk;Foot.TimeLossRisk;Bike.TimeLossRisk;eScoooter.TimeLossRisk;Car.TimeLossRisk;Foot.SavingTime.PerceivedUsefulness;Bike.SavingTime.PerceivedUsefulness;eScooter.SavingTime.PerceivedUsefulness;Foot.SavingMoney.PerceivedUsefulness;Bike.SavingMoney.PerceivedUsefulness;eScooter.SavingMoney.PerceivedUsefulness;Foot.FeelsGood.PerceivedUsefulness;Bike.FeelsGood.PerceivedUsefulness;eScooter.FeelsGood.PerceivedUsefulness;Foot.Healthy.PerceivedUsefulness;Bike.Healthy.PerceivedUsefulness;eScooter.Healthy.PerceivedUsefulness;Walk.Risk.LowLight;Walk.Risk.Crossway;Walk.Risk.BadRoads;Walk.Risk.Speed;Walk.RiskSecurity;Bike.Risk.LowLight;Bike.RiskBadRoads;Bike.Risk.Speed;Bike.Risk.lightTraffic;Bike.Risk.Security;Bike.Risk.Thief;Walk.EasetoUse;Bike.EasetoUse;Escooter.EasetoUse;WhereJob;StartPointJob;SameCityJob;Walk.IntentionToUse;Bike.IntentionToUse;Escooter.IntentionToUse;Walk.ActualUse.;Bike.ActualUse;Escooter.ActualUse;Walk.BikeWays.Intention;Bike.BikeWays.Intention;eScooter.BikeWays.Intention;Walk.Limit30.Intention;Bike.Limit30.Intention;eScooter.Limit30.Intention;Walk.RoadHump.Intention;Bike.Parking.Intention;eScooter.Parking.Intention;Bike.Sharing.Intention;eScooter.Sharing.Intention;Foot.PublicTransport.Bis.Intention;Bike.PublicTransport.Bis.Intention;eScooter.PublicTransport.Bis.Intention;Foot.Bis.ActualUse;Bike.Bis.ActualUse;eScooter.Bis.ActualUse;Foot.BikeWays.Bis.Intention;Bike.BikeWays.Bis.Intention;eScooter.BikeWays.Bis.Intention;Foot.Limit30.Bis.IntetiontoUse;Bike.Limit30.Bis.IntetiontoUse;eScooter.Limit30.Bis.IntentiontoUse;Foot.HumpRoad.Bis.IntetiontoUse;Bike.Parking.Bis.IntetiontoUse;eScooter.Parking.Bis.IntetiontoUse;Bike.Sharing.Bis.Intention;eScooter.Sharing.Bis.Intention;Sentiment.UseCar;Sentiment.UseCar.Dummy;Sentiment.MoreTime;Sentiment.MoreTime.Dummy;Sentiment.CarHome;Sentiment.CarHome.Dummy;Sentiment.LikeBike;Sentiment.LikeBike.Dummy;Sentiment.RecommendPublicTransport;Sentiment.RecommendPublicTransport.Dummy;ITAGender;Gender;BirthYear;Age;LivingPlace;ItaCitizen;ITACitizenShip;OtherCitizen;BirthPlace;Education;EducationYears;QualityLifeAreaVote;AccesibilityPublTransp;RoadSlopeITA;RoadSlope;Car.Owner;MotorBike.Owner;Bike.Owner;eBike.Owner;eScooter.Owner;Ability.Ride;eScooter.Experience;eBike.Experience;DrivingLicense;SameCityJob2;Rome
Lavoro;Numero di volte;2;5;Auto; ; ; ; ;no;no;Private;3;3;3;3;0;0;0;0;3;3;3;3;0;0;0;1;5;5;5;5;0;0;0;5;5;5;5;5;5;5;5;5;4;4;4;4;4;4;4;4;4;4;4;0;0;0;Roma;Roma;yes;3;3;3;0;0;0;3;3;3;3;3;3;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0;4;1;1;0;2;0;2;0;Donna;Female;1988;36; ;Sì;yes; ;Roma;Media superiore;13;4;2;Caratterizzata da forti pendenze;Steep slopes;Sì;No;Sì;No;No;Sì;No;Sì;Sì;yes;Rome
Lavoro;Numero di volte;2;5;Auto; ; ; ; ;no;no;Private;5;5;5;5;0;0;0;0;5;5;5;5;0;0;0;5;0;0;0;0;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;0;0;0;Roma;Roma;yes;5;5;5;0;0;0;5;5;5;0;0;0;0;3;3;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;0;4;1;1;0;2;0;2;0;Donna;Female;1989;35; ;Sì;yes; ;Roma;Laurea (triennale) di primo livello;16;4;3;Prevalentemente pianeggiante;Flat;Sì;No;Sì;No;Sì;Sì;Sì;No;Sì;yes;Rome
Lavoro;Numero di volte;2;7;Auto; ; ; ; ;no;no;Private;0;0;0;4;0;0;0;0;5;5;5;5;0;0;0;3;1;1;1;2;1;1;1;1;1;1;3;3;3;3;3;3;2;2;2;3;1;2;2;2;3;1;0;2;5;5;Roma;Roma;yes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0;1;0;4;1;1;0;1;0;Uomo;Male;1994;30; ;Sì;yes; ;Roma;Media superiore;13;3;3;Prevalentemente pianeggiante;Flat;Sì;No;No;No;No;No;No;No;Sì;yes;Rome
Lavoro;Numero di volte;2;5;Auto; ; ; ; ;no;no;Private;0;0;0;2;0;0;0;0;3;3;3;2;0;1;1;3;2;2;2;1;3;3;3;5;5;5;5;5;5;5;5;5;5;5;5;3;3;5;5;5;3;3;3;0;2;2;Fiumicino;Fiumicino;yes;5;2;2;100;100;100;5;5;5;5;5;5;5;5;5;5;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4;1;3;1;4;1;4;1;4;1;Uomo;Male;1989;35; ;Sì;yes; ;Moncalieri;Laurea magistrale o successivo;18;2;1;Prevalentemente pianeggiante;Flat;Sì;No;Sì;Sì;No;Sì;No;Sì;Sì;yes;Not Rome
Lavoro;Numero di volte;2;5;Auto;Metro; ; ; ;yes;yes;Public;3;3;3;3;0;0;0;0;4;4;4;4;0;0;0;3;4;4;4;4;0;0;0;5;5;5;4;4;4;4;4;4;5;5;5;5;5;5;5;5;5;5;5;4;4;4;Roma;Roma;yes;4;4;4;100;100;100;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;0;3;1;2;0;1;0;3;1;Donna;Female;1993;31; ;Sì;yes; ;Roma;Laurea (triennale) di primo livello;16;4;4;Caratterizzata da piccole salite;Easy climbs;Sì;No;No;No;No;Sì;Sì;Sì;Sì;yes;Rome
Lavoro;Numero di volte;2;3;Auto; ; ; ; ;no;no;Private;2;2;2;0;0;0;0;0;0;1;1;1;0;0;0;3;4;2;2;2;1;2;2;4;4;4;5;5;5;5;5;5;5;5;4;4;4;5;5;5;5;4;5;1;0;0;Roma;Roma;yes;0;0;0;0;0;0;1;1;0;1;1;0;1;2;2;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;0;2;0;2;0;1;0;2;0;Uomo;Male;1990;34; ;Sì;yes; ;Napoli;Laurea (triennale) di primo livello;16;3;4;Prevalentemente pianeggiante;Flat;Sì;Sì;Sì;No;No;Sì;No;No;Sì;yes;Rome
Lavoro;Numero di volte;2;5;Auto; ; ; ; ;no;no;Private;0;0;0;0;0;0;0;0;1;1;1;2;0;0;0;3;4;2;2;2;0;0;0;5;5;5;5;5;0;5;5;5;3;5;3;5;1;4;4;4;4;1;4;0;0;0;Roma;Ciciliano;no;0;2;2;0;0;0;3;5;2;5;5;3;3;3;3;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4;1;4;1;4;1;3;1;3;1;Uomo;Male;1995;29; ;Sì;yes; ;Tivoli;Media superiore;13;4;2;Caratterizzata da piccole salite;Easy climbs;Sì;No;Sì;No;No;Sì;Sì;Sì;Sì;no;Not Rome
Lavoro;Numero di volte;2;5;Auto; ; ; ; ;no;no;Private;0;1;1;3;0;0;0;0;3;3;3;5;0;0;0;5;1;1;1;3;3;3;3;3;3;3;5;5;5;5;5;5;5;5;5;4;2;5;5;5;5;2;2;2;2;2;Roma;Roma;yes;0;0;0;0;0;0;3;3;3;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4;1;3;1;4;1;3;1;2;0;Uomo;Male;1989;35; ;Sì;yes; ;Anzio;Media superiore;13;4;2;Caratterizzata da forti pendenze;Steep slopes;Sì;No;Sì;No;No;Sì;No;No;Sì;yes;Rome
Lavoro;Numero di volte;2;4;Bus/Tram;Metro; ; ; ;yes;yes;Public;5;5;5;5;5;5;5;5;2;2;2;2;2;2;2;2;2;2;2;2;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;0;5;0;1;1;1;Roma;Roma;yes;5;5;5;100;100;100;5;5;5;5;5;5;5;5;5;5;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4;1;4;1;3;1;2;0;3;1;Uomo;Male;1994;30; ;Sì;yes; ;Roma;Media superiore;13;3;4;Prevalentemente pianeggiante;Flat;No;No;No;No;No;Sì;No;No;No;yes;Rome
Lavoro;Numero di volte;2;7;Vado a piedi; ; ; ; ;yes;yes;VRU;0;0;0;4;0;0;0;0;4;3;3;4;0;0;0;4;0;0;0;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;4;5;5;5;5;4;5;5;5;0;Roma;Roma;yes;5;4;3;100;50;0;5;5;3;5;5;3;5;4;4;4;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4;1;3;1;4;1;4;1;2;0;Donna;Female;1999;25; ;Sì;yes; ;Genova;Laurea magistrale o successivo;18;4;1;Prevalentemente pianeggiante;Flat;Sì;Sì;Sì;No;Sì;Sì;No;No;Sì;yes;Rome
Lavoro;Numero di volte;2;6;Auto; ; ; ; ;no;no;Private;2;1;0;3;3;4;4;1;4;4;4;1;1;1;1;5;5;5;5;1;0;1;1;4;4;4;4;4;4;4;4;4;2;2;2;2;3;3;2;2;2;4;4;1;1;0;Rignano Flaminio;Rignano Flaminio;yes;1;1;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0;2;0;1;0;1;0;1;0;Uomo;Male;1990;34; ;Sì;yes; ;Rignano Flaminio;Media superiore;13;3;3;Prevalentemente pianeggiante;Flat;Sì;No;Sì;No;No;Sì;Sì;No;Sì;yes;Not Rome
Sono uno studente e lavoro;Numero di volte;2;7;Vado a piedi; ; ; ; ;yes;yes;VRU;2;0;0;0;0;0;0;0;1;1;1;2;0;0;0;3;3;1;1;3;1;5;5;5;5;5;5;5;5;5;5;5;3;5;5;2;0;3;5;2;5;0;5;5;5;5;Roma;Roma;yes;3;3;3;100;0;0;5;5;5;5;5;5;5;5;5;5;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;1;4;1;4;1;2;0;4;1;Uomo;Male;1996;28; ;Sì;yes; ;Tropea;Laurea (triennale) di primo livello;16;1;0;Caratterizzata da forti pendenze;Steep slopes;Sì;No;Sì;Sì;No;Sì;Sì;Sì;Sì;yes;Rome
Lavoro;Numero di volte;2;6;Auto; ; ; ; ;no;no;Private;3;3;3;3;0;0;0;0;3;3;3;3;0;0;0;0;4;4;4;4;0;0;0;4;4;4;4;4;4;4;4;4;5;5;5;5;5;5;5;5;5;5;5;0;0;0;Roma;Artena;no;0;0;0;0;0;0;4;4;4;3;3;3;3;4;4;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;0;3;1;4;1;1;0;1;0;Donna;Female;1992;32; ;Sì;yes; ;Colleferro;Media superiore;13;4;0;Caratterizzata da piccole salite;Easy climbs;Sì;No;No;No;No;Sì;No;No;Sì;no;Not Rome
Lavoro;Numero di volte;2;3;Metro; ; ; ; ;yes;yes;Public;0;2;1;1;0;5;0;5;1;3;2;2;0;1;1;5;5;4;4;4;0;1;1;4;4;4;4;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;3;3;2;Roma;Roma;yes;4;3;2;20;20;20;3;3;3;4;3;3;3;4;4;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0;4;1;3;1;4;1;2;0;Donna;Female;1990;34; ;Sì;yes; ;Roma;Laurea magistrale o successivo;18;4;2;Prevalentemente pianeggiante;Flat;Sì;No;Sì;No;Sì;Sì;Sì;Sì;Sì;yes;Rome
Lavoro;Numero di volte;2;5;Auto; ; ; ; ;no;no;Private;0;0;0;0;0;0;0;0;5;5;5;5;1;1;1;1;5;5;5;5;1;1;1;5;5;5;5;5;5;5;5;5;5;5;3;3;5;5;3;3;5;5;5;0;0;0;Roma;Roma;yes;5;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4;1;3;1;2;0;1;0;3;1;Donna;Female;1989;35; ;Sì;yes; ;Velletri;Media superiore;13;5;3;Caratterizzata da piccole salite;Easy climbs;Sì;No;No;No;No;Sì;Sì;Sì;Sì;yes;Rome
Lavoro;Numero di volte;2;7;Auto; ; ; ; ;no;no;Private;2;2;2;0;0;0;0;0;5;5;5;5;0;4;4;5;0;0;0;3;2;2;2;0;0;0;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;3;1;1;Roma;Roma;yes;2;2;2;0;0;0;5;4;4;5;4;4;1;4;4;4;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;0;3;1;1;0;3;1;1;0;Uomo;Male;1994;30; ;Sì;yes; ;Roma;Media superiore;13;1;4;Prevalentemente pianeggiante;Flat;Sì;No;Sì;No;No;Sì;No;Sì;Sì;yes;Rome
Lavoro;Numero di volte;2;5;Auto; ; ; ; ;no;no;Private;5;5;5;5;0;0;0;0;5;5;5;5;0;0;0;0;3;3;3;3;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;4;4;Aprilia;Ardea;no;5;5;5;0;0;0;0;0;0;0;0;0;3;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;1;4;1;1;0;4;1;1;0;Donna;Female;1990;34; ;Sì;yes; ;Roma;Media superiore;13;0;0;Prevalentemente pianeggiante;Flat;Sì;No;Sì;No;No;Sì;Sì;Sì;Sì;no;Not Rome
Lavoro;Numero di volte;2;5;Auto; ; ; ; ;no;no;Private;5;3;5;4;0;0;0;0;1;5;5;3;0;0;2;5;4;2;2;3;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;2;5;5;5;3;2;2;0;0;0;Roma;Roma;yes;5;5;5;0;0;0;4;4;4;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4;1;3;1;2;0;3;1;1;0;Donna;Female;1992;32; ;Sì;yes; ;Roma;Laurea (triennale) di primo livello;16;3;0;Prevalentemente pianeggiante;Flat;Sì;No;Sì;Sì;Sì;Sì;No;Sì;Sì;yes;Rome
Lavoro;Numero di volte;2;5;Auto; ; ; ; ;no;no;Private;0;0;0;0;0;0;0;0;3;3;3;3;3;3;3;3;5;5;5;0;0;0;0;0;0;0;4;4;4;4;4;4;5;5;5;5;3;5;5;5;1;3;3;1;1;1;Roma;Ostia;no;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;0;4;1;4;1;3;1;1;0;Donna;Female;1989;35; ;Sì;yes; ;Roma;Media superiore;13;4;2;Prevalentemente pianeggiante;Flat;Sì;No;Sì;No;No;Sì;No;No;Sì;no;Not Rome
Lavoro e studio;Numero di volte;2;6;Auto; ; ; ; ;no;no;Private;5;3;3;3;3;3;2;2;5;5;5;4;2;2;2;3;5;5;5;3;0;0;0;1;1;1;1;1;1;2;2;2;5;5;5;5;5;5;5;5;5;5;5;0;1;1;Roma;Roma;yes;1;1;1;0;0;0;4;4;4;4;4;4;4;4;4;4;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4;1;2;0;4;1;4;1;3;1;Uomo;Male;1993;31; ;Sì;yes; ;Benevento;Laurea magistrale o successivo;18;4;5;Prevalentemente pianeggiante;Flat;Sì;No;No;No;No;No;No;Sì;Sì;yes;Rome
Lavoro;Numero di volte;2;5;Auto; ; ; ; ;no;no;Private;0;0;0;0;0;0;0;0;5;5;5;5;0;0;0;5;5;5;5;0;0;0;0;5;5;5;4;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;2;0;0;Roma;Roma;yes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0;2;0;1;0;1;0;1;0;Uomo;Male;1989;35; ;Sì;yes; ;Civitavecchia;Laurea magistrale o successivo;18;4;2;Prevalentemente pianeggiante;Flat;Sì;No;No;No;No;Sì;No;No;Sì;yes;Rome
Lavoro;Numero di volte;2;5;Auto; ; ; ; ;no;no;Private;5;5;5;0;5;5;5;5;5;5;5;3;0;0;0;4;5;5;5;4;4;4;4;4;4;4;2;2;2;4;4;4;4;4;4;4;2;4;4;4;4;4;0;0;0;0;Roma;Roma;yes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;0;1;0;2;0;1;0;1;0;Uomo;Male;1998;26; ;Sì;yes; ;Roma;Media superiore;13;4;0;Prevalentemente pianeggiante;Flat;Sì;Sì;Sì;No;No;Sì;Sì;No;Sì;yes;Rome
Lavoro;Numero di volte;2;2;Metro; ; ; ; ;yes;yes;Public;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;5;0;0;5;5;3;3;3;3;3;3;5;4;4;5;4;4;5;5;5;5;5;5;5;5;5;5;5;4;3;1;Roma;Roma;yes;4;4;2;50;50;20;4;4;4;4;4;4;4;5;5;5;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;1;3;1;3;1;4;1;3;1;Donna;Female;1990;34; ;Sì;yes; ;Roma;Laurea magistrale o successivo;18;3;4;Prevalentemente pianeggiante;Flat;Sì;No;Sì;Sì;Sì;Sì;Sì;Sì;Sì;yes;Rome
Lavoro;Numero di volte;2;5;Auto; ; ; ; ;no;no;Private;3;3;3;3;3;3;3;3;5;5;5;5;2;2;2;2;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;4;3;3;5;4;3;3;5;5;5;1;1;1;Roma;Roma;yes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0;2;0;1;0;2;0;2;0;Uomo;Male;2004;20; ;No;no;Romania;Romania;Licenza elementare/media inferiore;8;4;4;Caratterizzata da piccole salite;Easy climbs;Sì;No;No;No;No;Sì;Sì;Sì;Sì;yes;Rome
Lavoro;Numero di volte;2;4;Auto; ; ; ; ;no;no;Private;0;0;0;0;0;0;0;0;1;4;4;0;0;0;0;4;4;4;4;0;0;0;0;5;5;5;5;5;5;5;5;5;5;5;5;5;3;5;5;5;4;3;3;2;4;4;Roma;Roma;yes;5;5;5;10;10;10;4;4;4;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;0;3;1;2;0;1;0;2;0;Donna;Female;1990;34; ;Sì;yes; ;Roma;Laurea magistrale o successivo;18;4;5;Prevalentemente pianeggiante;Flat;Sì;No;No;No;No;Sì;No;No;Sì;yes;Rome
Lavoro;Numero di volte;2;5;Auto; ; ; ; ;no;no;Private;0;2;3;3;0;0;0;2;2;4;5;3;2;0;1;2;5;2;2;3;4;3;3;5;4;3;5;3;3;5;4;3;5;5;4;5;4;5;5;5;5;3;4;0;0;0;Roma;Roma;yes;0;0;0;0;0;0;3;4;3;5;5;5;4;4;3;4;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4;1;2;0;2;0;2;0;2;0;Donna;Female;1991;33; ;Sì;yes; ;Roma;Laurea magistrale o successivo;18;3;0;Caratterizzata da forti pendenze;Steep slopes;Sì;No;No;No;No;Sì;No;No;Sì;yes;Rome
Lavoro e studio;Numero di volte;2;1;Auto; ; ; ; ;no;no;Private;1;1;1;4;1;1;1;3;5;5;5;3;1;1;1;3;2;2;2;0;2;2;2;4;4;4;5;5;5;5;5;5;5;5;3;4;5;5;5;3;5;5;3;0;0;0;Roma;Roma;yes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4;1;4;1;4;1;1;0;3;1;Donna;Female;1995;29; ;Sì;yes; ;Roma;Laurea (triennale) di primo livello;16;4;2;Prevalentemente pianeggiante;Flat;Sì;No;Sì;No;Sì;Sì;Sì;No;Sì;yes;Rome
Lavoro e studio;Numero di volte;2;6;Bus/Tram;Metro; ; ; ;yes;yes;Public;3;1;1;0;0;0;0;0;3;5;5;3;0;2;2;4;1;4;4;5;0;2;2;5;3;3;5;4;2;5;4;2;5;5;3;2;5;5;3;3;5;5;3;2;0;0;Roma;Roma;yes;0;0;0;0;0;0;2;4;4;5;2;2;2;4;4;4;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;0;1;0;1;0;3;1;1;0;Uomo;Male;2002;22; ;Sì;yes; ;Roma;Laurea (triennale) di primo livello;16;3;5;Caratterizzata da forti pendenze;Steep slopes;Sì;Sì;Sì;No;No;Sì;Sì;Sì;Sì;yes;Rome
Lavoro;Numero di volte;2;5;Monopattino; ; ; ; ;yes;yes;VRU;3;0;0;4;0;0;0;0;2;2;2;5;0;0;0;3;0;0;0;4;5;5;5;5;5;5;5;5;5;5;5;5;4;4;5;5;2;4;5;5;3;2;5;4;5;5;Roma;Roma;yes;3;5;5;0;100;100;3;5;5;3;5;5;3;5;5;5;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4;1;4;1;2;0;2;0;1;0;Uomo;Male;1996;28; ;Sì;yes; ;Roma;Media superiore;13;4;4;Caratterizzata da forti pendenze;Steep slopes;Sì;No;Sì;No;Sì;Sì;Sì;No;Sì;yes;Rome
Lavoro;Numero di volte;2;6;Bus/Tram;Metro;Treno; ; ;yes;yes;Public;1;1;1;1;1;1;1;1;4;4;4;4;3;3;3;3;3;3;3;3;4;4;4;4;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;3;5;5;4;4;4;Roma;Roma;yes;5;5;5;100;100;100;5;5;5;5;5;5;5;5;5;5;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4;1;4;1;3;1;3;1;4;1;Donna;Female;1998;26; ;Sì;yes; ;Roma;Laurea magistrale o successivo;18;5;4;Caratterizzata da forti pendenze;Steep slopes;No;No;Sì;No;No;Sì;Sì;Sì;Sì;yes;Rome
Lavoro;Numero di volte;2;5;Auto; ; ; ; ;no;no;Private;4;4;4;5;0;0;0;0;3;3;3;0;3;3;3;4;0;0;0;0;2;2;2;2;2;2;4;4;4;4;4;4;4;4;4;5;5;4;4;4;5;5;3;5;4;4;Roma;Roma;yes;2;4;4;20;50;50;4;4;4;4;4;4;4;4;4;4;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;0;3;1;1;0;3;1;2;0;Donna;Female;1989;35; ;Sì;yes; ;Roma;Laurea (triennale) di primo livello;16;4;0;Prevalentemente pianeggiante;Flat;Sì;No;Sì;No;No;Sì;Sì;No;Sì;yes;Rome
Lavoro;Numero di volte;2;7;Auto; ; ; ; ;no;no;Private;0;0;4;4;0;0;3;0;0;2;3;2;0;0;2;4;3;3;3;4;3;3;3;0;2;4;2;2;3;5;5;5;3;2;3;2;2;3;4;4;3;0;5;2;3;3;Roma;Roma;yes;3;4;2;0;0;0;0;0;0;4;4;4;4;3;3;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;1;4;1;2;0;2;0;2;0;Donna;Female;1989;35; ;Sì;yes; ;Roma;Laurea magistrale o successivo;18;4;1;Prevalentemente pianeggiante;Flat;Sì;No;Sì;No;No;Sì;Sì;Sì;Sì;yes;Rome
Lavoro;Numero di volte;2;5;Auto; ; ; ; ;no;no;Private;4;4;4;3;3;3;3;3;4;4;4;4;0;0;0;5;4;4;4;1;1;1;1;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;Roma;Roma;yes;3;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;0;1;0;1;0;4;1;1;0;Uomo;Male;1995;29; ;Sì;yes; ;Matera;Laurea (triennale) di primo livello;16;5;4;Caratterizzata da piccole salite;Easy climbs;Sì;No;Sì;No;No;No;Sì;No;Sì;yes;Rome
Lavoro;Numero di volte;2;5;Moto/scooter; ; ; ; ;no;yes;Private;0;0;0;0;0;0;0;0;3;3;3;3;1;1;1;1;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;4;4;4;4;4;4;4;5;4;4;3;3;3;Roma;Roma;yes;3;3;3;0;0;0;3;3;3;3;3;3;3;3;3;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;1;4;1;4;1;3;1;2;0;Donna;Female;1997;27; ;Sì;yes; Spagna;Tenerife;Laurea (triennale) di primo livello;16;4;5;Prevalentemente pianeggiante;Flat;No;Sì;Sì;No;No;Sì;Sì;Sì;Sì;yes;Rome
Non lavoro e non studio; N/A;1; ; ; ; ; ; ;no;no;N/A;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;3;3;3;3;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;3;2;2; ; ;yes;5;4;4;100;10;10;5;5;5;4;4;4;5;5;5;5;5;5;4;4;100;10;10;5;5;5;4;4;4;5;5;5;5;5;4;1;3;1;4;1;3;1;2;0;Donna;Female;1991;33;Velletri;Sì;yes; ;Velletri;Media superiore;13;4;3;Caratterizzata da piccole salite;Easy climbs;Sì;No;No;No;Sì;Sì;Sì;Sì;Sì;;
Lavoro e studio;Numero di volte;2;5;Auto; ; ; ; ;no;no;Private;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;1;0;0;0;0;1;2;2;5;5;5;5;5;5;5;5;5;5;5;4;5;4;4;4;5;5;4;5;1;0;0;Roma;Guidonia;no;1;1;1;0;0;0;5;5;5;5;5;5;3;3;3;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4;1;4;1;1;0;4;1;4;1;Donna;Female;1989;35; ;Sì;yes; ;Roma;Laurea magistrale o successivo;18;5;4;Prevalentemente pianeggiante;Flat;Sì;No;Sì;No;No;Sì;Sì;No;Sì;no;Not Rome
Lavoro;Numero di volte;2;4;Bus/Tram;Metro; ; ; ;yes;yes;Public;0;0;0;4;0;0;0;0;3;3;3;1;1;1;1;5;2;1;1;4;3;3;3;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;4;4;3;3;3;Roma;Velletri;no;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4;1;3;1;4;1;4;1;4;1;Donna;Female;1996;28; ;Sì;yes; ;Velletri;Laurea magistrale o successivo;18;4;2;Caratterizzata da forti pendenze;Steep slopes;Sì;No;Sì;Sì;No;Sì;Sì;No;Sì;no;Not Rome
